year,month,day,happiness,uneasiness,sadness,wariness,anger
2024,6,1,4,3,1,1,2
2024,6,2,2,3,2,2,1
2024,6,3,3,2,2,0,1
2024,6,4,5,3,0,0,0
2024,6,5,4,2,1,2,1
2024,6,6,5,1,0,1,2
2024,6,7,2,2,1,1,1
2024,6,8,3,2,0,1,1
2024,6,9,3,1,1,0,1
2024,6,10,5,3,2,2,2
2024,6,11,3,2,0,2,1
2024,6,12,2,2,0,1,1
2024,6,13,4,3,2,0,1
2024,6,14,2,1,2,2,2
2024,6,15,4,2,0,1,2
2024,6,16,5,3,1,0,1
2024,6,17,5,3,2,0,0
2024,6,18,5,3,1,1,2
2024,6,19,5,2,1,0,0
2024,6,20,4,2,2,0,2
2024,6,21,5,1,0,2,1
2024,6,22,3,2,1,2,1
2024,6,23,4,3,2,2,1
2024,6,24,3,3,1,0,2
2024,6,25,2,1,1,2,1
2024,6,26,2,3,0,2,2
2024,6,27,5,2,2,2,1
2024,6,28,3,3,2,1,0
2024,6,29,5,2,0,0,1
2024,6,30,3,2,1,0,1
2024,7,1,2,3,2,2,2
2024,7,2,4,1,1,1,2
2024,7,3,4,2,0,0,1
2024,7,4,3,1,1,1,2
2024,7,5,2,1,0,2,1
2024,7,6,4,3,2,0,1
2024,7,7,2,1,1,0,1
2024,7,8,3,1,1,2,0
2024,7,9,3,3,0,2,0
2024,7,10,2,2,1,1,1
2024,7,11,5,3,0,2,2
2024,7,12,4,1,0,0,0
2024,7,13,5,2,0,2,2
2024,7,14,4,1,2,0,1
2024,7,15,5,1,1,2,0
2024,7,16,5,2,0,1,2
2024,7,17,5,2,2,2,2
2024,7,18,2,1,0,1,0
2024,7,19,3,2,0,0,1
2024,7,20,3,2,0,1,0
2024,7,21,2,2,1,1,0
2024,7,22,5,3,0,0,1
2024,7,23,5,1,0,2,1
2024,7,24,4,1,1,0,2
2024,7,25,3,2,1,0,1
2024,7,26,3,3,0,2,2
2024,7,27,4,1,0,2,1
2024,7,28,4,2,0,1,0
2024,7,29,5,1,0,1,0
2024,7,30,4,2,2,1,1
2024,7,31,3,3,0,2,0
2024,8,1,2,1,1,1,1
2024,8,2,5,2,0,2,2
2024,8,3,5,3,0,1,0
2024,8,4,3,2,1,0,2
2024,8,5,4,3,2,0,0
2024,8,6,3,3,2,2,1
2024,8,7,5,2,0,0,0
2024,8,8,4,1,2,0,2
2024,8,9,2,2,2,0,2
2024,8,10,4,1,1,1,1
2024,8,11,5,1,0,2,1
2024,8,12,4,2,1,0,2
2024,8,13,4,3,1,1,1
2024,8,14,5,3,0,1,0
2024,8,15,5,3,0,1,2
2024,8,16,4,1,0,2,0
2024,8,17,5,3,2,0,1
2024,8,18,4,3,2,0,1
2024,8,19,3,1,2,2,1
2024,8,20,4,3,0,0,1
2024,8,21,4,2,2,2,0
2024,8,22,4,3,0,2,0
2024,8,23,5,3,2,0,2
2024,8,24,5,2,1,0,1
2024,8,25,5,3,0,0,1
2024,8,26,5,3,2,0,1
2024,8,27,3,2,0,1,2
2024,8,28,3,2,2,2,0
2024,8,29,5,1,2,2,1
2024,8,30,3,3,2,1,0
2024,8,31,3,2,1,1,2
2024,9,1,5,1,2,1,1
2024,9,2,2,1,1,2,1
2024,9,3,5,1,1,1,0
2024,9,4,4,0,2,0,0
2024,9,5,5,0,2,1,0
2024,9,6,2,0,1,0,1
2024,9,7,4,0,0,1,1
2024,9,8,3,1,0,1,1
2024,9,9,5,2,2,2,0
2024,9,10,5,1,0,1,1
2024,9,11,2,1,2,0,0
2024,9,12,5,1,1,2,0
2024,9,13,2,0,1,2,1
2024,9,14,2,0,0,2,0
2024,9,15,2,1,2,2,1
2024,9,16,2,2,0,0,1
2024,9,17,2,1,2,2,1
2024,9,18,3,1,1,1,1
2024,9,19,5,1,0,0,0
2024,9,20,4,0,1,0,0
2024,9,21,4,0,2,0,1
2024,9,22,2,1,2,2,1
2024,9,23,4,0,2,0,1
2024,9,24,5,2,1,2,1
2024,9,25,2,0,1,1,0
2024,9,26,3,2,0,0,0
2024,9,27,3,0,1,0,1
2024,9,28,5,2,1,1,0
2024,9,29,2,2,0,2,0
2024,9,30,2,2,1,1,1
2024,10,1,3,0,2,0,0
2024,10,2,5,2,1,2,1
2024,10,3,4,2,1,1,1
2024,10,4,3,1,0,0,1
2024,10,5,3,1,1,1,0
2024,10,6,3,0,0,0,0
2024,10,7,2,2,2,0,0
2024,10,8,2,1,1,2,1
2024,10,9,3,0,2,0,0
2024,10,10,4,0,1,0,0
2024,10,11,3,1,1,0,1
2024,10,12,2,1,0,2,0
2024,10,13,5,1,2,0,0
2024,10,14,5,1,0,2,1
2024,10,15,5,1,1,0,0
2024,10,16,3,2,1,0,1
2024,10,17,3,2,1,2,1
2024,10,18,2,1,1,2,1
2024,10,19,3,2,2,2,1
2024,10,20,5,0,2,1,1
2024,10,21,5,2,1,2,0
2024,10,22,3,2,1,1,0
2024,10,23,5,0,2,0,0
2024,10,24,4,2,1,1,0
2024,10,25,5,1,2,1,0
2024,10,26,3,1,1,1,0
2024,10,27,3,0,2,2,0
2024,10,28,5,1,2,1,0
2024,10,29,2,1,0,2,0
2024,10,30,5,2,0,0,1
2024,10,31,3,0,1,1,1
2024,11,1,2,0,2,2,0
2024,11,2,2,1,2,0,0
2024,11,3,4,0,0,1,0
2024,11,4,4,2,2,2,1
2024,11,5,5,0,1,0,0
2024,11,6,2,2,0,1,1
2024,11,7,3,0,2,1,0
2024,11,8,5,2,2,0,1
2024,11,9,5,1,1,1,0
2024,11,10,2,1,2,0,0
2024,11,11,5,2,1,0,0
2024,11,12,3,2,1,0,1
2024,11,13,3,2,1,0,0
2024,11,14,5,0,2,2,0
2024,11,15,3,2,0,2,1
2024,11,16,2,0,0,2,1
2024,11,17,2,0,0,0,0
2024,11,18,4,1,2,1,0
2024,11,19,4,0,1,0,1
2024,11,20,3,2,2,0,1
2024,11,21,4,0,0,0,1
2024,11,22,2,1,1,2,1
2024,11,23,5,2,2,0,0
2024,11,24,5,0,2,1,0
2024,11,25,4,0,2,2,0
2024,11,26,2,1,0,2,1
2024,11,27,5,0,1,2,1
2024,11,28,3,1,1,2,1
2024,11,29,4,2,1,2,0
2024,11,30,2,1,2,2,0
2024,12,1,3,1,2,1,1
2024,12,2,5,1,2,1,0
2024,12,3,2,1,3,2,0
2024,12,4,2,2,3,0,1
2024,12,5,3,1,1,0,1
2024,12,6,3,2,2,0,1
2024,12,7,4,2,3,1,1
2024,12,8,2,2,3,1,1
2024,12,9,3,2,1,1,1
2024,12,10,3,1,1,2,0
2024,12,11,5,2,1,0,1
2024,12,12,3,3,2,2,1
2024,12,13,5,3,3,1,1
2024,12,14,4,2,3,2,0
2024,12,15,2,2,2,0,0
2024,12,16,2,3,2,2,1
2024,12,17,5,1,3,2,1
2024,12,18,5,1,2,0,1
2024,12,19,4,2,1,2,0
2024,12,20,3,2,3,1,1
2024,12,21,4,1,3,0,0
2024,12,22,3,3,1,2,1
2024,12,23,4,3,1,2,0
2024,12,24,4,3,3,2,1
2024,12,25,4,2,3,1,1
2024,12,26,5,2,2,1,0
2024,12,27,5,3,3,1,0
2024,12,28,4,2,3,0,1
2024,12,29,2,2,1,0,1
2024,12,30,5,1,2,2,0
2024,12,31,3,3,2,2,1
